0,55
1,57
2,45
3,49
4,51
5,50
6,44
7,40
8,54
9,46
10,36
11,55
12,43
13,45
14,47
15,53
16,36
17,48
18,48
19,45
20,51
21,50
22,48
23,42
24,47
25,51
26,41
27,42
28,50
29,36
30,39
31,51
32,54
33,42
34,52
35,47
36,28
37,49
38,42
39,43
40,36
41,48
42,49
43,46
44,45
45,46
46,45
47,55
48,32
49,31
50,46
51,45
52,41
53,46
54,47
55,63
56,42
57,44
58,49
59,44
60,37
61,61
62,49
63,28
64,48
65,46
66,51
67,47
68,56
69,43
70,49
71,50
72,45
73,49
74,54
75,47
76,53
77,35
78,45
79,43
80,50
81,50
82,46
83,51
84,37
85,42
86,44
87,46
88,59
89,53
90,38
91,54
92,38
93,50
94,55
95,50
96,50
97,39
98,46
99,39
100,55
