0,36
1,46
2,43
3,66
4,40
5,54
6,37
7,49
8,42
9,45
10,42
11,40
12,42
13,47
14,47
15,42
16,52
17,46
18,36
19,41
20,46
21,49
22,44
23,58
24,47
25,50
26,47
27,43
28,44
29,46
30,43
31,47
32,45
33,47
34,39
35,47
36,59
37,52
38,39
39,50
40,45
41,44
42,42
43,42
44,56
45,50
46,42
47,52
48,41
49,56
50,47
51,49
52,49
53,48
54,38
55,45
56,53
57,56
58,50
59,53
60,49
61,50
62,37
63,42
64,52
65,40
66,46
67,53
68,56
69,50
70,43
71,44
72,54
73,39
74,52
75,43
76,38
77,41
78,54
79,36
80,56
81,41
82,41
83,30
84,53
85,45
86,50
87,47
88,46
89,40
90,36
91,53
92,50
93,41
94,49
95,44
96,57
97,59
98,46
99,32
100,52
