0,45
1,39
2,52
3,37
4,51
5,55
6,44
7,41
8,52
9,49
10,52
11,40
12,51
13,48
14,52
15,52
16,51
17,39
18,50
19,45
20,50
21,47
22,37
23,43
24,44
25,44
26,58
27,42
28,54
29,43
30,34
31,45
32,40
33,33
34,50
35,40
36,45
37,65
38,62
39,46
40,43
41,61
42,41
43,50
44,52
45,33
46,53
47,48
48,50
49,46
50,57
51,37
52,56
53,55
54,37
55,43
56,43
57,45
58,49
59,40
60,54
61,41
62,34
63,40
64,45
65,41
66,42
67,39
68,42
69,46
70,49
71,49
72,43
73,51
74,47
75,41
76,46
77,50
78,43
79,51
80,53
81,56
82,48
83,39
84,46
85,45
86,47
87,59
88,48
89,30
90,38
91,50
92,59
93,51
94,54
95,42
96,44
97,57
98,49
99,28
100,37
